frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
199,1.1609977324263039,1,4096,0,1.0,-48.313087713033894,0.005316511262208223,53,0,-1,,0,0,5.899599999999339,8.94360000000205,88.99650000000037,13
200,1.1668027210884353,1,4096,0,1.0,-47.32055039345467,0.005599202122539282,53,0,-1,,0,0,8.198699999997672,10.154899999999856,106.20510000000039,14
201,1.172607709750567,1,4096,0,1.0,-47.473906733201545,0.0053135487250983715,66,0,-1,,0,0,6.816600000000506,8.467399999997127,92.78210000000087,14
202,1.1784126984126984,1,4096,0,1.0,-47.71301672924599,0.004672297276556492,66,0,-1,,0,0,5.615900000002227,10.70720000000236,114.21879999999973,13
203,1.18421768707483,1,4096,0,1.0,-47.97833696812306,0.004165343940258026,66,0,-1,,0,0,4.3527000000018745,6.008200000003683,114.26150000000135,13
204,1.1900226757369614,1,4096,0,1.0,-48.8494451093632,0.0038624813314527273,66,0,-1,,0,0,5.4906000000016775,6.90219999999897,89.37330000000188,13
205,1.195827664399093,1,4096,0,1.0,-48.540106186627256,0.004092181567102671,66,0,-1,,0,0,4.633800000000576,5.938000000000443,89.28450000000154,13
206,1.2016326530612245,1,4096,0,1.0,-44.03474950233621,0.004732012283056974,66,0,-1,,0,0,7.785099999999545,11.560100000000517,99.11749999999842,15
207,1.207437641723356,1,4096,0,1.0,-46.19604106953675,0.004963742569088936,66,0,-1,,0,0,7.7971000000012225,10.131000000001222,116.61059999999779,15
208,1.2132426303854875,1,4096,0,1.0,-47.488687550445704,0.00498374504968524,66,0,-1,,0,0,7.148499999999558,8.446100000000456,116.6121000000011,15
209,1.2190476190476192,1,4096,0,1.0,-48.381297948181974,0.005705001298338175,66,0,-1,,0,0,7.914799999998223,9.11479999999898,116.65479999999917,15
210,1.2248526077097506,1,4096,0,1.0,-50.01294455215351,0.005398537032306194,66,0,-1,,0,0,8.290000000002351,10.063500000001113,113.92359999999968,17
211,1.230657596371882,1,4096,0,1.0,-49.50153312168551,0.005135802086442709,66,0,-1,,0,0,11.052100000000564,13.00600000000074,122.60260000000045,19
